content,dealy,client,total op,union,split,time(u)(ms),time(s)(ms),mem(server+n clients),ot calls(server),max_ot,max_duration(ms),remark,Delay(47.100.34.153),Delay(47.99.201.21),,,,,,
45ms,,8,2400,960,1440,21.17,6.7,351.95M+59.22M+58.19M+56.05M+58.83M+33.56M+38.83M+32.77M+37.66M ,2396,1718,109.9,,,,,,,,,
55ms,,8,2400,960,1440,21.63,6.56,352.74M+62.24M+58.47M+58.86M+60.5M+32.3M+40.3M+33.21M+31.39M ,2393,1729,112.78,,,,,,,,,
65ms,,8,2400,960,1440,22.23,6.66,347.38M+59.95M+58.86M+62.74M+58.05M+30.84M+31.36M+33.07M+38.11M ,2395,1706,115.58,,,,,,,,,
75ms,,8,2400,960,1440,21.96,6.61,345.42M+62.06M+60.32M+61.68M+61.24M+31.58M+28.55M+31.9M+34.41M ,2389,1658,147.97,,,,,,,,,
5ms,,10,2400,960,1440,23.89,6.69,381.21M+45.9M+42.87M+41.76M+43.96M+44.72M+42.04M+37.79M+38.94M+43.84M+38.46M ,2397,1947,132.99,,,,,,,,,
15ms,,10,2400,960,1440,23.37,6.81,378.87M+45.24M+44.61M+44.02M+45.32M+45.15M+35.92M+40.39M+32.79M+41.39M+42.37M ,2399,1957,120.72,,,,,,,,,
25ms,,10,2400,960,1440,23.3,7.21,372.65M+47.92M+44.67M+50.57M+45.6M+47.13M+40.55M+33.49M+34.53M+33.85M+33.48M ,2398,2006,113.54,,,,,,,,,
35ms,,10,2400,960,1440,23.04,6.83,366.95M+49.04M+47.96M+47.15M+48.61M+47.39M+31.47M+29.48M+33.83M+37.27M+33.04M ,2394,1881,129.81,,,,,,,,,
45ms,,10,2400,960,1440,23.1,6.68,366.83M+48.7M+48.72M+51.2M+50.6M+48.8M+31.85M+29.37M+27.81M+31.72M+32.89M ,2398,1911,125.13,,,,,,,,,
55ms,,10,2400,960,1440,23.85,6.54,364.8M+49.89M+56.56M+48.3M+46.33M+51.74M+28.12M+29.77M+26.38M+31.1M+29.39M ,2390,1865,129.68,,,,,,,,,
65ms,,10,2400,960,1440,22.94,6.53,363.71M+50.66M+49.65M+50.6M+51.85M+50.49M+28.55M+27.97M+27.43M+29.16M+27.74M ,2393,1869,151.82,,,,,,,,,
75ms,,10,2400,960,1440,22.46,6.05,365.41M+56.47M+51.96M+51.62M+51.46M+51.7M+24.36M+23.91M+34.56M+26.35M+27.51M ,2394,1892,118.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ufs(400 items),,,,,,,,,,,,,,,,,,,,
5ms,,6,2400,960,1440,3206.99,24.13,576.59M+61.16M+60.43M+43.53M+124.91M+116.64M+107.9M ,2305,590,14633.47,,,,,,,,,
5ms(accelarate 12.12),,6,2400,960,1440,2735.61,22.73,594.65M+67.73M+50.76M+40.21M+113.9M+132.53M+125.14M ,1,1,0.22,2310,665,12198.98,,,,,,
100item delay 5ms,,6,2400,960,1440,18.45,7.51,323.11M+65.03M+60.74M+58.66M+52.45M+56.29M+58.19M,,,,,,,,, ,2382,1692,96
,,,,,,,,,,,,,,,,,,,,
